               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11253,            0.029609,            0.029562,                   0,                   0,                   0,                   0,            0.079802,             0.02167,            0.019354,              0.0973,              0.0003,              0.0003
                   1,             0.11331,             0.03044,            0.030421,                   0,                   0,                   0,                   0,            0.076259,            0.021023,            0.019176,            0.093688,          0.00068845,          0.00068845
                   2,            0.087522,             0.02957,            0.022256,           0.0024986,               0.375,            0.010145,            0.002923,            0.067452,            0.019565,            0.018811,            0.090064,           0.0010637,           0.0010637
                   3,             0.10118,            0.030806,            0.028236,           0.0019758,               0.375,            0.053716,            0.017067,            0.058058,            0.018499,            0.018062,            0.086426,           0.0014257,           0.0014257
                   4,            0.077951,            0.027892,             0.02161,           0.0023823,               0.625,            0.025031,           0.0057946,            0.054197,            0.017244,            0.018721,            0.082775,           0.0017746,           0.0017746
                   5,            0.061063,             0.03025,            0.018615,           0.0033363,                   1,            0.033924,           0.0093132,            0.053569,            0.016519,            0.018143,             0.07911,           0.0021103,           0.0021103
                   6,            0.066957,            0.027255,            0.022953,           0.0048192,                   1,             0.15046,             0.02305,            0.050545,            0.015575,            0.017205,            0.075433,           0.0024327,           0.0024327
                   7,            0.074117,            0.030404,            0.020632,           0.0033414,                   1,            0.047111,            0.010241,            0.046996,            0.014727,            0.016508,            0.071742,            0.002742,            0.002742
                   8,            0.065347,            0.028532,            0.024565,           0.0033341,                   1,             0.26788,             0.10169,            0.048348,            0.013113,            0.016071,            0.068038,            0.003038,            0.003038
                   9,            0.056752,            0.027168,            0.019083,           0.0033438,                   1,             0.23609,            0.060013,            0.045674,            0.012139,             0.01577,            0.064321,           0.0033208,           0.0033208
                  10,             0.07171,            0.028362,            0.022928,           0.0079355,                   1,              0.2853,            0.067548,            0.044685,            0.011382,            0.015824,             0.06059,           0.0035905,           0.0035905
                  11,            0.056104,            0.027439,            0.023719,           0.0033378,                   1,             0.25332,            0.084509,            0.042811,            0.010805,            0.015117,            0.056847,            0.003847,            0.003847
                  12,            0.057239,            0.025574,            0.018329,            0.099532,               0.875,             0.30427,             0.11143,            0.036326,            0.010607,            0.014959,             0.05309,           0.0040902,           0.0040902
                  13,            0.066002,            0.027364,            0.021096,             0.23074,                0.75,             0.30713,            0.089912,            0.032962,            0.010658,            0.013821,             0.04932,           0.0043202,           0.0043202
                  14,            0.063236,            0.025824,            0.022641,               0.201,                0.75,             0.34945,            0.098879,             0.03301,            0.010576,            0.013622,            0.045537,           0.0045371,           0.0045371
                  15,            0.061661,            0.027767,            0.021843,             0.19227,               0.625,             0.39242,             0.12751,            0.030906,            0.010727,            0.013922,            0.041741,           0.0047408,           0.0047408
                  16,             0.06871,             0.02752,             0.01877,             0.26277,               0.625,             0.42519,             0.12759,            0.031909,            0.010547,            0.014309,            0.037931,           0.0049312,           0.0049312
                  17,            0.059293,            0.026137,            0.023149,             0.47944,                0.75,             0.64641,             0.15597,            0.034218,            0.010201,            0.011116,            0.034108,           0.0051084,           0.0051084
                  18,            0.060853,            0.027075,            0.020783,             0.40876,                0.75,             0.58241,             0.11599,            0.035366,            0.010176,            0.010578,            0.030272,           0.0052725,           0.0052725
                  19,            0.054249,            0.025728,            0.015973,             0.41377,             0.81021,             0.40714,             0.10321,              0.0385,           0.0098276,           0.0096478,            0.026423,           0.0054234,           0.0054234
                  20,            0.063252,             0.02831,            0.018025,             0.48082,             0.58983,             0.44337,             0.19293,            0.035767,           0.0089101,           0.0085528,            0.022561,            0.005561,            0.005561
                  21,            0.045296,            0.026346,            0.027733,             0.58839,             0.55207,             0.67484,             0.24283,            0.036046,           0.0093318,           0.0071732,            0.018685,           0.0056854,           0.0056854
                  22,            0.047611,            0.028682,             0.01302,             0.53459,             0.60939,             0.63669,             0.23784,            0.033167,           0.0091124,           0.0066638,            0.014797,           0.0057967,           0.0057967
                  23,            0.052115,             0.02481,            0.017134,             0.33224,               0.375,              0.4272,             0.14468,            0.036009,           0.0089128,           0.0062776,            0.010895,           0.0058948,           0.0058948
                  24,            0.056522,            0.026403,            0.013598,             0.48496,             0.58542,             0.60664,             0.18331,            0.032129,           0.0092524,           0.0052054,           0.0069796,           0.0059796,           0.0059796
                  25,            0.060351,            0.024486,            0.016682,             0.46164,             0.74148,             0.62037,             0.20525,             0.03366,           0.0087105,           0.0049903,            0.005875,            0.005875,            0.005875
                  26,            0.057968,            0.024513,            0.017945,             0.98166,                 0.5,             0.64967,              0.1534,            0.036302,           0.0082526,            0.004384,            0.005875,            0.005875,            0.005875
                  27,            0.067294,            0.028014,            0.018454,             0.77144,                 0.5,             0.67507,             0.21665,            0.031745,           0.0081822,           0.0038062,             0.00571,             0.00571,             0.00571
                  28,            0.047761,            0.026077,            0.013618,             0.69997,                0.25,             0.23936,            0.059727,            0.040395,           0.0078637,           0.0033781,            0.005545,            0.005545,            0.005545
                  29,             0.05249,            0.024532,            0.013248,             0.74736,                 0.5,             0.60647,             0.15113,            0.030402,           0.0078948,           0.0029563,             0.00538,             0.00538,             0.00538
                  30,            0.047194,            0.025484,            0.015342,             0.75398,                0.25,             0.46576,             0.10856,            0.030664,           0.0079046,           0.0025726,            0.005215,            0.005215,            0.005215
                  31,            0.047616,            0.025224,           0.0094118,             0.67641,             0.41152,             0.37687,             0.12091,            0.032012,           0.0071654,           0.0022902,             0.00505,             0.00505,             0.00505
                  32,            0.045227,            0.023584,            0.010719,             0.73247,               0.375,             0.37267,             0.13216,            0.029696,            0.007139,           0.0021592,            0.004885,            0.004885,            0.004885
                  33,            0.047157,            0.023937,           0.0080763,             0.73032,               0.375,              0.3635,             0.12913,            0.028312,            0.007082,           0.0023192,             0.00472,             0.00472,             0.00472
                  34,            0.064019,            0.022801,            0.011618,             0.75599,               0.375,             0.42242,             0.14555,            0.026639,           0.0066744,           0.0017877,            0.004555,            0.004555,            0.004555
                  35,            0.045155,             0.02157,            0.014579,             0.73689,                 0.5,             0.59433,             0.16742,            0.030655,           0.0063008,           0.0014605,             0.00439,             0.00439,             0.00439
                  36,            0.047877,            0.025822,             0.01002,             0.86221,               0.375,             0.60697,             0.23046,            0.028688,           0.0063888,           0.0010545,            0.004225,            0.004225,            0.004225
                  37,            0.038461,            0.022606,           0.0053651,             0.52182,             0.72422,               0.745,              0.2094,            0.031525,           0.0063061,          0.00074137,             0.00406,             0.00406,             0.00406
                  38,            0.058501,            0.024022,           0.0096016,              0.4984,                0.75,             0.64917,             0.23587,            0.030203,           0.0061082,          0.00066767,            0.003895,            0.003895,            0.003895
                  39,            0.043233,            0.025277,           0.0079946,             0.38876,               0.625,              0.6825,             0.30967,            0.028122,           0.0061462,          0.00077779,             0.00373,             0.00373,             0.00373
                  40,            0.050166,            0.023565,             0.01241,             0.54702,               0.625,             0.80929,              0.3531,            0.024635,           0.0061816,           0.0009253,            0.003565,            0.003565,            0.003565
                  41,            0.040785,             0.02335,           0.0098345,             0.49423,             0.75123,             0.77268,             0.31938,            0.026691,           0.0062001,           0.0010073,              0.0034,              0.0034,              0.0034
                  42,            0.042779,            0.023209,           0.0066813,             0.54249,               0.625,             0.84143,             0.32398,            0.023856,           0.0061911,           0.0012294,            0.003235,            0.003235,            0.003235
                  43,            0.038993,            0.022031,           0.0064952,             0.70673,              0.7149,                0.75,             0.32056,            0.024554,           0.0060153,            0.001748,             0.00307,             0.00307,             0.00307
                  44,            0.036636,            0.023127,           0.0046142,              0.5068,                0.75,              0.5962,             0.25231,             0.02845,           0.0058016,           0.0030899,            0.002905,            0.002905,            0.002905
                  45,             0.03975,            0.021193,           0.0052646,             0.83218,             0.74587,             0.76006,             0.24833,            0.024151,           0.0057564,           0.0029805,             0.00274,             0.00274,             0.00274
                  46,            0.047657,            0.022961,           0.0086707,             0.52351,                0.75,             0.68429,             0.30362,            0.025095,           0.0057167,            0.004164,            0.002575,            0.002575,            0.002575
                  47,            0.050321,            0.022307,           0.0095557,             0.63813,                0.75,             0.72785,             0.28442,            0.024594,           0.0057571,           0.0042166,             0.00241,             0.00241,             0.00241
                  48,            0.039315,            0.021691,           0.0036774,             0.47359,                0.75,             0.71762,             0.28055,            0.024152,           0.0058171,           0.0050472,            0.002245,            0.002245,            0.002245
                  49,            0.035212,            0.022744,           0.0048812,             0.52431,                0.75,               0.735,             0.23209,             0.02539,           0.0057408,            0.004862,             0.00208,             0.00208,             0.00208
                  50,              0.0464,            0.023365,           0.0054708,             0.86605,             0.71954,             0.76968,             0.33586,            0.023582,           0.0056976,           0.0044155,            0.001915,            0.001915,            0.001915
                  51,            0.033331,              0.0185,            0.004742,             0.64515,               0.625,             0.71487,             0.29319,            0.023507,           0.0057034,           0.0034471,             0.00175,             0.00175,             0.00175
                  52,            0.043609,            0.023022,           0.0063687,             0.63039,               0.625,             0.71368,             0.39164,            0.023536,           0.0057693,            0.003069,            0.001585,            0.001585,            0.001585
                  53,            0.045881,            0.022396,           0.0074779,             0.87117,             0.72522,             0.75557,             0.40196,            0.022982,             0.00588,           0.0026363,             0.00142,             0.00142,             0.00142
                  54,            0.043579,            0.022753,           0.0046183,              0.8588,             0.72087,             0.75256,             0.40781,            0.023288,           0.0058676,           0.0024357,            0.001255,            0.001255,            0.001255
                  55,            0.027649,            0.021133,            0.001891,             0.89495,             0.70207,             0.79051,             0.31525,             0.02441,           0.0057435,           0.0022621,             0.00109,             0.00109,             0.00109
                  56,            0.045064,              0.0246,           0.0044383,             0.93177,             0.70035,             0.78745,             0.37587,            0.024082,            0.005715,           0.0019086,            0.000925,            0.000925,            0.000925
                  57,            0.034409,            0.021482,           0.0035991,             0.92304,             0.62413,             0.74768,             0.42122,            0.023066,           0.0057394,           0.0016475,             0.00076,             0.00076,             0.00076
                  58,             0.02711,            0.023171,           0.0024578,             0.94327,             0.71283,             0.79143,             0.42206,            0.023548,           0.0057288,           0.0014253,            0.000595,            0.000595,            0.000595
                  59,            0.034657,            0.023293,             0.00288,             0.89753,               0.625,             0.76108,             0.40802,             0.02286,           0.0057362,           0.0012959,             0.00043,             0.00043,             0.00043
